brand,model,year,age,kmdriven,transmission,owner,fueltype,posteddate,additioninfo,askprice,priceperkm,brand_model,priceperkm_mean,relativeprice,priceclassification
Honda,city,2001,24,98000.0,Manual,second,Petrol,Nov-24,"Honda City v teck in mint condition, valid genuine car,",195000.0,1.989795918367347,Honda city,20.600018073248346,0.09659195012801185,Very Cheap
Toyota,innova,2009,16,190000.0,Manual,second,Diesel,Jul-24,"Toyota Innova 2.5 G (Diesel) 7 Seater, 2009, Diesel",375000.0,1.9736842105263157,Toyota innova,6.758718481747107,0.29202047930484665,Very Cheap
Volkswagen,ventotest,2010,15,77246.0,Manual,first,Diesel,Nov-24,"Volkswagen Vento 2010-2013 Diesel Breeze, 2010, Diesel",184999.0,2.394933070968076,Volkswagen ventotest,7.453172746778904,0.3213306805485104,Very Cheap
Maruti Suzuki,swift,2017,8,83500.0,Manual,second,Diesel,Nov-24,Maruti Suzuki Swift 2017 Diesel Good Condition,565000.0,6.766467065868263,Maruti Suzuki swift,2880.555400384865,0.0023490147299247252,Very Cheap
Maruti Suzuki,baleno,2019,6,45000.0,Automatic,first,Petrol,Nov-24,"Maruti Suzuki Baleno Alpha CVT, 2019, Petrol",685000.0,15.222222222222221,Maruti Suzuki baleno,152.68953273019284,0.0996939472538721,Very Cheap
BMW,x3,2014,11,83000.0,Automatic,first,Diesel,Nov-24,"BMW X3 2.0 XDRIVE 20D, 2014, Diesel",1350000.0,16.265060240963855,BMW x3,69.33980465449694,0.23457032107327988,Very Cheap
Toyota,innova,2014,11,168000.0,Manual,second,Diesel,Nov-24,"Toyota Innova 2.5 VX 8 Seater BS IV, 2014, Diesel",1025000.0,6.101190476190476,Toyota innova,6.758718481747107,0.9027141007082363,Average
BMW,5-series,2019,6,25000.0,Automatic,second,Diesel,Nov-24,"BMW 5 Series 3.0 530D M Sport, 2019, Diesel",5950000.0,238.0,BMW 5-series,75.22262972463412,3.1639415009983236,Very Expensive
Maruti Suzuki,maruti-suzuki-dzire,2020,5,33759.0,Manual,second,Petrol,Nov-24,"Maruti Suzuki Dzire 1.2 VXI, 2020, Petrol",622000.0,18.424716371930447,Maruti Suzuki maruti-suzuki-dzire,11.078510843688482,1.6631040608158232,Expensive
Ford,ecosport,2017,8,69713.0,Manual,second,Petrol,Nov-24,"Ford Ecosport 1.5 Ti VCT MT Titanium BE, 2017, Petrol",649000.0,9.309597922912513,Ford ecosport,9.623449562514535,0.9673867839631494,Average
Maruti Suzuki,alto-k10,2018,7,70000.0,Automatic,first,Petrol,Nov-24,"Maruti Suzuki Alto K10 VXI Airbag, 2018, Petrol",395000.0,5.642857142857143,Maruti Suzuki alto-k10,7.972325899405322,0.7078056283772919,Cheap
Kia,carnival,2021,4,25000.0,Automatic,first,Diesel,Nov-24,"Kia Carnival Premium 8 STR, 2021, Diesel",2900000.0,116.0,Kia carnival,81.35128957908252,1.4259147039978397,Expensive
Maruti Suzuki,swift-dzire,2012,13,72700.0,Manual,second,Petrol,Nov-24,"Maruti Suzuki Swift Dzire VXI 1.2, 2012, Petrol",240000.0,3.3012379642365888,Maruti Suzuki swift-dzire,366.8296822701915,0.008999375251768842,Very Cheap
Toyota,corolla,2007,18,121931.0,Automatic,second,Petrol,Nov-24,Top End Fully Loaded Automatic  Corolla with  Advanced Seq. CNG,201350.0,1.6513437928008463,Toyota corolla,2.7221876572071118,0.6066237896674173,Cheap
Mercedes-Benz,gle-coupe,2021,4,32000.0,Automatic,second,Petrol,Oct-24,"Mercedes-Benz GLE COUPE 3.0 53 AMG 4MATIC Plus, 2021, Petrol",11800000.0,368.75,Mercedes-Benz gle-coupe,379.1898506835779,0.9724680113015746,Average
Hyundai,xcent,2018,7,130000.0,Manual,second,Diesel,Nov-24,"Hyundai Xcent S 1.2 OPT, 2018, Diesel",330000.0,2.5384615384615383,Hyundai xcent,160.6096981039811,0.01580515727523565,Very Cheap
Kia,seltos,2020,5,68000.0,Manual,first,Diesel,Oct-24,"Kia Seltos HTK Plus D, 2020, Diesel",1045000.0,15.367647058823529,Kia seltos,597.9619697787431,0.02570004086465539,Very Cheap
Maruti Suzuki,ertiga,2016,9,65000.0,Manual,second,Diesel,Nov-24,"Maruti Suzuki Ertiga VDI SHVS, 2016, Diesel",785000.0,12.076923076923077,Maruti Suzuki ertiga,744.0943916136315,0.01623036433688641,Very Cheap
Maruti Suzuki,ertiga,2017,8,59000.0,Automatic,second,Petrol,Nov-24,Maruti Suzuki Ertiga 2017 Petrol 59000 Km Driven,555000.0,9.40677966101695,Maruti Suzuki ertiga,744.0943916136315,0.012641917164054354,Very Cheap
BMW,3-series-gt,2015,10,61000.0,Automatic,second,Diesel,Nov-24,"BMW 3 Series GT 320d Luxury Line, 2015, Diesel",1500000.0,24.59016393442623,BMW 3-series-gt,29.67100311034931,0.8287607885373153,Cheap
Ford,endeavour,2019,6,77000.0,Automatic,second,Diesel,Nov-24,"Ford Endeavour 2.2 Titanium AT 4X2, 2019, Diesel",2399000.0,31.155844155844157,Ford endeavour,32.851092003814706,0.9483959970714613,Average
Toyota,innova-crysta,2017,8,107000.0,Automatic,first,Diesel,Nov-24,"Toyota Innova Crysta 2.8Z Automatic, 2017, Diesel",1325000.0,12.383177570093459,Toyota innova-crysta,42.900844611653284,0.2886464749631008,Very Cheap
Honda,city,2010,15,99000.0,Manual,first,Petrol,Nov-24,"Honda City S MT, 2010, Petrol",295000.0,2.9797979797979797,Honda city,20.600018073248346,0.14465026046106305,Very Cheap
Audi,a3,2015,10,42000.0,Automatic,second,Diesel,Nov-24,"Audi A3 2.0 35 TDI Attraction, 2015, Diesel",1050000.0,25.0,Audi a3,22.406158002674967,1.115764692769522,Expensive
Renault,kwid,2019,6,48073.0,Automatic,second,Petrol,Nov-24,"Renault KWID RXT AMT Climber (Automatic), 2019, Petrol",355000.0,7.384602583570819,Renault kwid,1909.8909584219834,0.0038665048132759516,Very Cheap
MG,hector,2019,6,32618.0,Automatic,first,Petrol,Oct-24,"MG Hector, 2019, Petrol",1250000.0,38.3223986755779,MG hector,53.74981232558458,0.712977348524372,Cheap
Maruti Suzuki,swift-dzire,2012,13,70000.0,Manual,second,Diesel,Nov-24,"Maruti Suzuki Swift Dzire Vdi BSIV, 2012, Diesel",315000.0,4.5,Maruti Suzuki swift-dzire,366.8296822701915,0.012267273390067402,Very Cheap
Maruti Suzuki,celerio,2014,11,51000.0,Automatic,second,Petrol,Nov-24,"Maruti Suzuki Celerio 2014-2017 VXI AT, 2014, Petrol",345000.0,6.764705882352941,Maruti Suzuki celerio,83.45902565727158,0.08105421587513524,Very Cheap
Maruti Suzuki,vitara-brezza,2018,7,137000.0,Manual,first,Diesel,Nov-24,"Maruti Suzuki Vitara Brezza ZDi, 2018, Diesel",845000.0,6.1678832116788325,Maruti Suzuki vitara-brezza,29.0886323202811,0.21203758030859626,Very Cheap
Toyota,2.8-legender-4x2,2023,2,1996.0,Automatic,first,Diesel,Nov-24,"Toyota Fortuner Legender 4X4 AT 2.8, 2023, Diesel",4195000.0,2101.703406813627,Toyota 2.8-legender-4x2,423.9669539111903,4.957234018889778,Very Expensive
Toyota,innova-crysta,2017,8,90000.0,Manual,second,Diesel,Nov-24,"Toyota Innova Crysta 2.4 V 8 STR, 2017, Diesel",1950000.0,21.666666666666668,Toyota innova-crysta,42.900844611653284,0.5050405618536771,Cheap
Toyota,innova,2011,14,84000.0,Manual,second,Diesel,Nov-24,"Toyota Innova 2.5 VX 8 STR, 2011, Diesel",490000.0,5.833333333333333,Toyota innova,6.758718481747107,0.8630827499454357,Cheap
Volvo,s90,2018,7,53000.0,Automatic,first,Diesel,Nov-24,"Volvo S90 D4 Inscription, 2018, Diesel",2950000.0,55.660377358490564,Volvo s90,85.57730731729478,0.6504104780034585,Cheap
Hyundai,venue,2021,4,17000.0,Manual,first,Petrol,Nov-24,"Hyundai Venue E, 2021, Petrol",685000.0,40.294117647058826,Hyundai venue,37.63041144626613,1.070785997240458,Average
Maruti Suzuki,ertiga,2018,7,70000.0,Manual,second,Petrol,Nov-24,"Maruti Suzuki Ertiga VXI Petrol, 2018, Petrol",749000.0,10.7,Maruti Suzuki ertiga,744.0943916136315,0.01437989604624777,Very Cheap
Hyundai,creta,2023,2,5000.0,Automatic,first,Petrol,Nov-24,Creta Top model Night Edition 2023 Petrol Well Maintained,1600000.0,320.0,Hyundai creta,30.42047800624864,10.519229840315761,Very Expensive
Hyundai,alcazar,2022,3,47110.0,Manual,second,Diesel,Nov-24,"Hyundai Alcazar, 2022, Diesel",1695000.0,35.97962216090002,Hyundai alcazar,125.54226662768903,0.2865936957120744,Very Cheap
Hyundai,i20,2019,6,35000.0,Manual,first,Petrol,Nov-24,"Hyundai i20 Magna Plus, 2019, Petrol",585000.0,16.714285714285715,Hyundai i20,1687.8476557956692,0.009902721763361056,Very Cheap
Mercedes-Benz,e-class,2019,6,101570.0,Automatic,first,Diesel,Oct-24,"Mercedes-Benz E-Class Exclusive E 220 d, 2019, Diesel",4200000.0,41.35079255685734,Mercedes-Benz e-class,59.235547847173365,0.6980739447796049,Cheap
Volkswagen,polo,2021,4,42000.0,Manual,second,Petrol,Nov-24,"Volkswagen Polo 1.0 Comfortline Plus, 2021, Petrol",675000.0,16.071428571428573,Volkswagen polo,40.70764056628003,0.3948012792650346,Very Cheap
Maruti Suzuki,baleno,2018,7,30000.0,Manual,second,Petrol,Nov-24,"Maruti Suzuki Baleno Alpha, 2018, Petrol",630000.0,21.0,Maruti Suzuki baleno,152.68953273019284,0.13753398562760458,Very Cheap
Hyundai,verna,2016,9,82100.0,Manual,second,Diesel,Nov-24,"Hyundai Verna 1.6 S CRDi, 2016, Diesel",465000.0,5.663824604141291,Hyundai verna,97.44746941218739,0.058121823360894144,Very Cheap
Audi,a4,2012,13,90000.0,Automatic,second,Diesel,Aug-24,"Audi A4 2014-2016 2.0 TDI S Line, 2012, Diesel",899000.0,9.988888888888889,Audi a4,21968.009443747484,0.0004547015929898882,Very Cheap
Toyota,fortuner,2011,14,193000.0,Manual,second,Diesel,Nov-24,"Toyota Fortuner 3.0 4x4 Manual, 2011, Diesel",1125000.0,5.829015544041451,Toyota fortuner,75.18384742163744,0.07753015765942163,Very Cheap
Mercedes-Benz,c-class,2015,10,65000.0,Automatic,first,Diesel,Nov-24,"Mercedes-Benz C-Class 2.0 220d Progressive, 2015, Diesel",1750000.0,26.923076923076923,Mercedes-Benz c-class,86.27882161525014,0.312047341619211,Very Cheap
Hyundai,creta,2022,3,30000.0,Automatic,second,Petrol,Nov-24,"Hyundai Creta 1.4 SX (O) Turbo Petrol DCT, 2022, Petrol",1690000.0,56.333333333333336,Hyundai creta,30.42047800624864,1.8518227531389204,Expensive
Maruti Suzuki,swift-dzire,2020,5,94856.0,Manual,first,Petrol,Nov-24,Maruti Suzuki Swift Dzire Well Maintained,690000.0,7.27418402631357,Maruti Suzuki swift-dzire,366.8296822701915,0.019829867586766626,Very Cheap
Skoda,kushaq,2023,2,12000.0,Automatic,first,Petrol,Nov-24,"Skoda Kushaq 1.5 Monte carlo TSI DSG, 2023, Petrol",1800000.0,150.0,Skoda kushaq,82.85245655890515,1.810447224257682,Expensive
Tata,safari,2010,15,500000.0,Manual,first,Diesel,Nov-24,Tata Safari 2010 Diesel Good Condition,800000.0,1.6,Tata safari,23.86497160936079,0.06704386773175194,Very Cheap
Toyota,innova-crysta,2018,7,118000.0,Automatic,first,Diesel,Nov-24,"Toyota Innova Crysta 2.8Z Automatic, 2018, Diesel",1795000.0,15.211864406779661,Toyota innova-crysta,42.900844611653284,0.35458193293116697,Very Cheap
Mercedes-Benz,c-class,2016,9,41000.0,Automatic,second,Petrol,Oct-24,"Mercedes-Benz C-Class C 200, 2016, Petrol",2000000.0,48.78048780487805,Mercedes-Benz c-class,86.27882161525014,0.5653819430034485,Cheap
Honda,city,2010,15,79000.0,Manual,second,Petrol,Nov-24,Honda City 2010 1.5 S MT Petrol (Extremely Well Maintained),290000.0,3.670886075949367,Honda city,20.600018073248346,0.17819819686063593,Very Cheap
Honda,brv,2016,9,103001.0,Manual,second,Diesel,Nov-24,7 Seater Honda BR-V with 20+Avg.,555555.0,5.393685498199047,Honda brv,12.927315736914775,0.4172316672669357,Very Cheap
Hyundai,creta,2017,8,70000.0,Manual,second,Petrol,Nov-24,"Hyundai Creta, 2017, Petrol",765000.0,10.928571428571429,Hyundai creta,30.42047800624864,0.3592504833857838,Very Cheap
